Browser,OS,screenW,workerid,screenH
Chrome,Mac,1680,0,1050
Firefox,Windows,1536,1,864
Chrome,Windows,3072,2,1728
Chrome,Linux,1024,3,600
Chrome,Windows,1366,4,768
Chrome,Mac,1280,5,800
Chrome,Windows,1366,6,768
Chrome,Windows,1229,7,692
Chrome,Windows,1280,8,1024
Chrome,Mac,1920,9,1080
Firefox,Windows,1536,10,864
Chrome,Mac,1280,11,800
Chrome,Mac,1280,12,800
Chrome,Windows,1239,13,697
Chrome,Windows,1920,14,1080
Chrome,Windows,1920,15,1080
Chrome,Linux,1360,16,768
Chrome,Windows,1920,17,1080
Chrome,Windows,1366,18,768
Chrome,Linux,1092,19,614
Firefox,Windows,1280,20,1024
Chrome,Windows,1280,21,720
Firefox,Windows,1120,22,700
Chrome,Mac,1440,23,900
Chrome,Windows,1536,24,864
Chrome,Windows,1280,25,1024
Chrome,Windows,1920,26,1200
Chrome,Windows,1920,27,1080
Chrome,Linux,1536,28,864
Chrome,Windows,1366,29,768
Chrome,Windows,1600,30,900
Chrome,Windows,1366,31,768
Firefox,Windows,1920,32,1080
Chrome,Mac,1440,33,900
Chrome,Windows,1366,34,768
Chrome,Windows,1366,35,768
Chrome,Windows,1366,36,768
Chrome,Windows,1280,37,1024
Chrome,Windows,1366,38,768
Chrome,Linux,1366,39,768
Chrome,Windows,1366,40,768
Chrome,Mac,1280,41,800
Chrome,Windows,1920,42,1080
Chrome,Windows,1280,43,768
Chrome,Windows,1920,44,1080
Chrome,Windows,1708,45,960
Chrome,Windows,1366,46,768
Chrome,Mac,1280,47,800
Chrome,Linux,1366,48,768
Chrome,Linux,1187,49,667
Chrome,Windows,1366,50,768
Chrome,Linux,1366,51,768
Chrome,Windows,1920,52,1080
Chrome,Mac,1440,53,900
Chrome,Windows,1920,54,1080
Chrome,Windows,1280,55,1024
Chrome,Windows,1364,56,768
Chrome,Windows,1280,57,720
Chrome,Linux,1366,58,768
Chrome,Windows,1366,59,768
Chrome,Windows,1440,60,900
Chrome,Mac,1280,61,800
Chrome,Windows,1536,62,864
Chrome,Windows,1600,63,900
Chrome,Windows,1366,64,768
Chrome,Mac,1440,65,900
Chrome,Windows,1360,66,768
Chrome,Windows,1366,67,768
Chrome,Mac,1280,68,1024
Chrome,Windows,1366,69,768
Chrome,Windows,1920,70,1080
Chrome,Windows,1366,71,768
Firefox,Windows,1024,72,768
Safari,an unknown OS,768,73,1024
Chrome,Windows,1920,74,1080
Chrome,Windows,1920,75,1080
Chrome,Windows,1440,76,900
Chrome,Windows,1920,77,1080
Chrome,Windows,1368,78,912
Chrome,Windows,1366,79,768
Chrome,Windows,3840,80,2160
Chrome,Windows,1920,81,1080
Chrome,Windows,1366,82,768
Chrome,Windows,1366,83,768
Chrome,Windows,1920,84,1080
Chrome,Windows,1920,85,1080
Chrome,Windows,1920,86,1080
Safari,iPhone/iPod,375,87,812
Chrome,Windows,1536,88,864
Safari,Mac,2560,89,1440
Chrome,Windows,1366,90,768
Chrome,Mac,1440,91,900
Chrome,Mac,1280,92,800
Chrome,Windows,1920,93,1080
Chrome,Mac,1366,94,768
Chrome,Windows,1280,95,800
Firefox,Mac,1920,96,1080
Chrome,Windows,1920,97,1080
Chrome,Mac,1440,98,900
Chrome,Windows,1920,99,1080
Chrome,Mac,1440,100,900
Chrome,Windows,1920,101,1080
Chrome,Linux,1241,102,698
Chrome,Windows,1536,103,864
Chrome,Windows,1366,104,768
Chrome,Mac,1440,105,900
Chrome,Linux,412,106,869
Chrome,Mac,1920,107,1200
Chrome,Windows,1920,108,1080
Chrome,Linux,1366,109,768
Chrome,Windows,1440,110,900
Safari,Mac,768,111,1024
Firefox,Windows,1760,112,990
Chrome,Windows,1280,113,1024
Chrome,Windows,1536,114,864
Chrome,Windows,1440,115,900
Chrome,Mac,1920,116,1080
Chrome,Windows,1676,117,943
Chrome,Windows,1536,118,864
Chrome,Windows,1920,119,1080
Chrome,Windows,1364,120,768
Chrome,Windows,1366,121,768
Chrome,Windows,1366,122,768
Chrome,Windows,1680,123,1050
Chrome,Windows,1920,124,1080
Chrome,Windows,1600,125,900
Chrome,Windows,1366,126,768
Safari,Mac,768,127,1024
Chrome,Windows,1920,128,1080
Chrome,Windows,1280,129,720
Chrome,Windows,1920,130,1080
Chrome,Linux,1280,131,800
Chrome,Windows,1366,132,768
Safari,Mac,1440,133,900
Chrome,Mac,1920,134,1080
Chrome,Windows,1920,135,1080
Chrome,Linux,1366,136,768
Chrome,Windows,1366,137,768
Chrome,Windows,1920,138,1080
Chrome,Windows,1920,139,1080
Chrome,Windows,1366,140,768
Chrome,Linux,1366,141,768
Firefox,Mac,1680,142,1050
Chrome,Windows,1920,143,1080
Chrome,Windows,1366,144,768
Chrome,Windows,1366,145,768
Chrome,Windows,1366,146,768
Chrome,Windows,1680,147,1050
Chrome,Windows,1366,148,768
Chrome,Windows,1707,149,960
Firefox,Windows,1366,150,768
Chrome,Windows,1366,151,768
Chrome,Windows,1440,152,900
Firefox,Windows,1207,153,678
Chrome,Mac,1280,154,800
Chrome,Windows,1920,155,1080
Safari,iPhone/iPod,375,156,667
Chrome,Windows,1500,157,1000
Firefox,Mac,2560,158,1440
Chrome,Linux,360,159,640
Safari,iPhone/iPod,414,160,736
Chrome,Windows,1440,161,960
Chrome,Windows,1280,162,720
Chrome,Mac,1280,163,800
Chrome,Windows,1366,164,768
Chrome,Mac,2560,165,1440
Chrome,Windows,1280,166,768
Firefox,Windows,1920,167,1200
Chrome,Windows,1360,168,768
Chrome,Linux,393,169,786
Chrome,Mac,1280,170,800
Safari,an unknown OS,768,171,1024
Firefox,Windows,1920,172,1080
Chrome,Windows,1280,173,800
Safari,iPhone/iPod,414,174,736
Chrome,Mac,1440,175,900
Firefox,Windows,1366,176,768
Chrome,Windows,1280,177,1024
Chrome,Windows,1366,178,768
Chrome,Windows,1280,179,720
Safari,Mac,1440,180,900
Chrome,Mac,1440,181,900
Chrome,Mac,1366,182,768
Firefox,Windows,1536,183,864
Chrome,Windows,1920,184,1080
Chrome,Windows,1366,185,768
Chrome,Windows,1600,186,900
Safari,Mac,1280,187,800
Chrome,Windows,1280,188,720
Chrome,Windows,1600,189,900
Chrome,Windows,1366,190,768
Safari,Mac,1440,191,900
Chrome,Windows,1920,192,1080
Chrome,Windows,1242,193,698
Chrome,Windows,1344,194,840
Chrome,Windows,1536,195,864
Firefox,Windows,1152,196,864
Chrome,Windows,1368,197,912
Chrome,Windows,1366,198,768
Chrome,Linux,1366,199,768
Chrome,Windows,1366,200,768
Chrome,Windows,1707,201,960
Chrome,Windows,1600,202,900
Chrome,Mac,1366,203,768
Chrome,Windows,1280,204,720
Chrome,Windows,1366,205,768
Firefox,Mac,1440,206,900
Chrome,Windows,1600,207,900
Chrome,Windows,1680,208,1050
Chrome,Windows,1366,209,768
Chrome,Windows,1366,210,768
Chrome,Mac,1920,211,1080
Chrome,Windows,1368,212,912
Chrome,Windows,1920,213,1080
Chrome,Windows,1920,214,1080
Safari,iPhone/iPod,375,215,812
Safari,an unknown OS,768,216,1024
Chrome,Windows,1366,217,768
Chrome,Windows,1920,218,1080
Chrome,Windows,1920,219,1080
Chrome,Windows,1536,220,864
Chrome,Windows,1242,221,698
Chrome,Mac,1920,222,1080
Chrome,Windows,1366,223,768
Chrome,Windows,1920,224,1080
Chrome,Windows,1440,225,900
Chrome,Windows,1600,226,900
Chrome,Windows,1366,227,768
Chrome,Linux,1366,228,768
Chrome,Mac,1440,229,900
Chrome,Mac,1440,230,900
Chrome,Windows,1280,231,1024
Chrome,Mac,2560,232,1440
Firefox,Windows,1280,233,1024
Chrome,Windows,1920,234,1080
Chrome,Windows,1280,235,720
Chrome,Windows,1280,236,720
Chrome,Windows,1536,237,864
Chrome,Windows,1920,238,1080
Chrome,Windows,1366,239,768
Chrome,Windows,1920,240,1080
Firefox,Windows,1286,241,965
Chrome,Windows,1680,242,1050
Chrome,Linux,1200,243,800
Chrome,Windows,1280,244,800
Firefox,Windows,1536,245,864
Chrome,Windows,1600,246,900
Chrome,Windows,1360,247,768
Chrome,Windows,1366,248,768
Firefox,Mac,1280,249,800
Chrome,Windows,1536,250,864
Chrome,Windows,1360,251,768
Chrome,Mac,1920,252,1080
Safari,Mac,1920,253,1080
Firefox,Windows,1600,254,900
Chrome,Windows,1366,255,768
Chrome,Linux,1366,256,768
Chrome,Windows,1600,257,900
Chrome,Windows,1440,258,900
Chrome,Windows,1920,259,1080
Firefox,Windows,1536,260,864
Chrome,Mac,1680,261,1050
Chrome,Windows,1366,262,768
Chrome,Windows,1920,263,1080
Safari,Mac,1440,264,900
Chrome,Mac,2560,265,1440
Chrome,Windows,1366,266,768
Chrome,Linux,1366,267,768
Chrome,Windows,1536,268,864
Chrome,Windows,1366,269,768
Chrome,Windows,1366,270,768
Chrome,Windows,1600,271,900
Chrome,Linux,1366,272,768
Chrome,Windows,1400,273,1050
Chrome,Windows,1920,274,1080
Chrome,Windows,1440,275,900
Chrome,Mac,1440,276,900
Chrome,Windows,1920,277,1080
Chrome,Linux,1092,278,614
Chrome,Windows,1366,279,768
Chrome,Windows,1280,280,720
Firefox,Windows,1920,281,1080
Chrome,Windows,1366,282,768
Chrome,Windows,1920,283,1080
Chrome,Windows,1075,284,672
Chrome,Windows,1368,285,912
Chrome,Linux,360,286,640
Firefox,Windows,1536,287,864
Chrome,Windows,1600,288,900
Chrome,Windows,1366,289,768
Chrome,Windows,1920,290,1080
Firefox,Windows,1366,291,768
Safari,Mac,1440,292,900
Safari,Mac,768,293,1024
Chrome,Windows,1366,294,768
Chrome,Windows,1920,295,1080
Chrome,Windows,1920,296,1080
Chrome,Windows,1500,297,1000
Chrome,Windows,1600,298,900
Chrome,Mac,2560,299,1440
Chrome,Linux,1500,300,1000
Chrome,Windows,1368,301,912
Chrome,Windows,1366,302,768
Firefox,Windows,1680,303,1050
Chrome,Windows,1536,304,864
Chrome,Windows,1920,305,1080
Chrome,Mac,1280,306,800
Chrome,Windows,1536,307,864
Chrome,Windows,1366,308,768
Chrome,Windows,1280,309,720
Chrome,Windows,1504,310,1003
Chrome,Windows,1920,311,1080
Chrome,Windows,1366,312,768
Chrome,Windows,1920,313,1080
Chrome,Mac,1280,314,800
Firefox,Windows,1600,315,900
Chrome,Windows,1524,316,858
Chrome,Windows,1366,317,768
Chrome,Linux,1920,318,1080
Chrome,Linux,1366,319,768
Chrome,Windows,1440,320,960
Safari,an unknown OS,768,321,1024
Firefox,Windows,1440,322,900
Firefox,Windows,1525,323,858
Chrome,Windows,1536,324,864
Chrome,Linux,412,325,732
Chrome,Windows,1280,326,1024
Chrome,Windows,1920,327,1080
Chrome,Mac,1280,328,800
Chrome,Mac,1440,329,900
Safari,Mac,1440,330,900
Chrome,Windows,1366,331,768
Chrome,Windows,1366,332,768
Chrome,Windows,1360,333,768
Chrome,Windows,1366,334,768
Chrome,Windows,1600,335,900
Chrome,Windows,1229,336,692
Chrome,Windows,1280,337,720
Chrome,Mac,1440,338,900
Safari,iPhone/iPod,414,339,896
Chrome,Windows,1366,340,768
Chrome,Windows,1366,341,768
Chrome,Windows,1920,342,1080
Chrome,Mac,1280,343,800
Chrome,Windows,1600,344,900
Chrome,Linux,1138,345,640
Chrome,Windows,1366,346,768
Chrome,Windows,1242,347,699
Chrome,Windows,1440,348,900
Chrome,Linux,1366,349,768
Chrome,Windows,1920,350,1080
Firefox,Windows,1920,351,1080
Chrome,Linux,1536,352,864
Firefox,Windows,1366,353,768
Chrome,Windows,1097,354,617
Chrome,Windows,1680,355,1050
Chrome,Windows,1280,356,1024
Chrome,Windows,1920,357,1080
Chrome,Linux,360,358,640
Chrome,Windows,1536,359,864
Chrome,Windows,1280,360,720
Firefox,Windows,1280,361,960
Chrome,Linux,1280,362,1024
Chrome,Windows,1366,363,768
Chrome,Linux,1280,364,800
Chrome,Linux,800,365,1280
Safari,Mac,1440,366,900
Chrome,Windows,1920,367,1080
Chrome,Windows,1920,368,1080
Chrome,Linux,360,369,640
Chrome,Windows,1600,370,1200
Firefox,Linux,414,371,783
Safari,iPhone/iPod,414,372,736
Firefox,Windows,1366,373,768
Chrome,Mac,1440,374,900
Chrome,Windows,1920,375,1080
Chrome,Linux,1536,376,864
Chrome,Windows,1366,377,768
Chrome,Windows,1920,378,1080
Chrome,Windows,1364,379,768
Chrome,Mac,1600,380,900
Chrome,Windows,1366,381,768
Chrome,Windows,1920,382,1080
Mozilla,Windows,1024,383,576
Chrome,Windows,1920,384,1080
Chrome,Windows,1280,385,720
Chrome,Windows,1366,386,768
Chrome,Windows,1536,387,864
Chrome,Windows,1600,388,900
Chrome,Windows,1920,389,1080
Safari,iPhone/iPod,414,390,896
Firefox,Windows,1536,391,864
Chrome,Windows,1280,392,720
Chrome,Windows,1536,393,864
Chrome,Windows,1920,394,1080
Chrome,Windows,1536,395,864
Chrome,Windows,1920,396,1080
Chrome,Windows,1536,397,864
Chrome,Windows,1366,398,768
Firefox,Windows,1366,399,768
Chrome,Windows,1536,400,864
Firefox,Windows,1536,401,864
Chrome,Windows,1920,402,1080
Chrome,Mac,1280,403,800
Chrome,Windows,1707,404,1067
Safari,Mac,1440,405,900
Chrome,Windows,1680,406,1050
Mozilla,Windows,1280,407,720
Chrome,Mac,1680,408,1050
Firefox,Mac,1920,409,1080
Firefox,Windows,1920,410,1080
Chrome,Windows,1920,411,1080
