screenW,screenH,Browser,OS,workerid
1366,768,Chrome,Windows,0
1280,800,Chrome,Mac,1
1440,900,Chrome,Mac,2
1366,768,Chrome,Linux,3
1920,1080,Chrome,Windows,4
1366,768,Chrome,Windows,5
1280,800,Chrome,Mac,6
412,732,Chrome,Linux,7
2560,1440,Firefox,Windows,8
1366,768,Chrome,Windows,9
1920,1080,Chrome,Windows,10
1366,768,Chrome,Linux,11
360,640,Chrome,Linux,12
1680,1050,Chrome,Windows,13
1366,768,Chrome,Windows,14
1366,768,Chrome,Windows,15
1366,768,Chrome,Windows,16
1600,900,Chrome,Windows,17
1366,768,Chrome,Linux,18
1600,900,Chrome,Windows,19
1525,858,Firefox,Windows,20
1366,768,Safari,Mac,21
1536,864,Chrome,Windows,22
360,640,Chrome,Linux,23
1280,720,Chrome,Windows,24
1366,768,Chrome,Windows,25
1440,900,Chrome,Mac,26
1600,1200,Chrome,Windows,27
1280,800,Chrome,Mac,28
1920,1080,Chrome,Windows,29
1920,1080,Chrome,Windows,30
360,640,Chrome,Linux,31
1366,768,Chrome,Windows,32
1093,615,Chrome,Windows,33
1440,900,Chrome,Mac,34
1366,768,Firefox,Windows,35
1440,900,Chrome,Mac,36
1280,720,Chrome,Windows,37
1366,768,Chrome,Windows,38
1366,768,Chrome,Windows,39
1300,731,Chrome,Linux,40
1366,768,Chrome,Windows,41
1920,1080,Chrome,Windows,42
1920,1080,Chrome,Windows,43
1920,1080,Chrome,Windows,44
1366,768,Chrome,Windows,45
1280,800,Chrome,Windows,46
1366,768,Firefox,Windows,47
1920,1080,Firefox,Windows,48
1280,1024,Chrome,Windows,49
2560,1440,Chrome,Windows,50
1920,1080,Chrome,Windows,51
414,736,Safari,iPhone/iPod,52
1920,1080,Chrome,Windows,53
1920,1080,Chrome,Windows,54
1366,768,Chrome,Windows,55
1920,1080,Chrome,Windows,56
1366,768,Firefox,Windows,57
1920,1080,Firefox,Linux,58
1280,720,Chrome,Linux,59
1600,900,Chrome,Windows,60
1280,800,Firefox,Windows,61
1366,768,Chrome,Windows,62
1920,1080,Firefox,Windows,63
1280,720,Firefox,Windows,64
1920,1080,Chrome,Windows,65
1366,768,Chrome,Windows,66
414,736,Safari,iPhone/iPod,67
1280,800,Chrome,Mac,68
1920,1080,Chrome,Windows,69
1366,768,Firefox,Windows,70
1366,768,Chrome,Windows,71
1280,720,Chrome,Windows,72
1920,1080,Chrome,Windows,73
1920,1080,Chrome,Windows,74
1280,800,Chrome,Mac,75
1366,768,Chrome,Windows,76
414,896,Safari,iPhone/iPod,77
1280,1024,Chrome,Windows,78
1024,1366,Safari,an unknown OS,79
1280,800,Firefox,Mac,80
1920,1080,Firefox,Windows,81
375,667,Safari,iPhone/iPod,82
1920,1080,Chrome,Windows,83
1680,1050,Chrome,Windows,84
1366,768,Chrome,Windows,85
2560,1440,Chrome,Mac,86
1366,768,Chrome,Windows,87
1280,720,Chrome,Windows,88
360,740,Chrome,Linux,89
1366,768,Chrome,Linux,90
1366,768,Chrome,Windows,91
1366,768,Chrome,Windows,92
1920,1080,Chrome,Windows,93
414,736,Safari,iPhone/iPod,94
1366,768,Chrome,Windows,95
1440,900,Chrome,Mac,96
1440,900,Chrome,Mac,97
1280,720,Chrome,Windows,98
1440,900,Chrome,Windows,99
1366,768,Chrome,Windows,100
1366,768,Chrome,Windows,101
1280,720,Chrome,Windows,102
601,962,Chrome,Linux,103
1440,900,Chrome,Mac,104
412,846,Chrome,Linux,105
1024,1366,Safari,Mac,106
1536,864,Chrome,Windows,107
2560,1440,Chrome,Mac,108
1366,768,Firefox,Windows,109
1440,900,Chrome,Mac,110
1368,912,Chrome,Windows,111
412,823,Chrome,Linux,112
1920,1080,Chrome,Windows,113
816,459,Chrome,Windows,114
1920,1080,Firefox,Windows,115
1536,864,Chrome,Linux,116
1920,1080,Firefox,Windows,117
1366,768,Chrome,Windows,118
1366,768,Chrome,Windows,119
1920,1080,Chrome,Windows,120
414,896,Safari,iPhone/iPod,121
1366,768,Chrome,Mac,122
1366,768,Chrome,Windows,123
1366,768,Chrome,Linux,124
1360,768,Chrome,Windows,125
1920,1080,Chrome,Windows,126
1364,768,Chrome,Windows,127
1366,768,Chrome,Windows,128
1440,900,Chrome,Mac,129
1440,900,Safari,Mac,130
601,962,Chrome,Linux,131
375,667,Safari,iPhone/iPod,132
1366,768,Chrome,Windows,133
1366,768,Chrome,Windows,134
1366,768,Chrome,Windows,135
1280,800,Chrome,Windows,136
1366,768,Firefox,Windows,137
1696,954,Firefox,Windows,138
414,896,Safari,iPhone/iPod,139
375,812,Safari,iPhone/iPod,140
1280,720,Chrome,Windows,141
1680,1050,Chrome,Windows,142
1368,912,Chrome,Windows,143
1366,768,Chrome,Windows,144
1920,1080,Firefox,Windows,145
1438,808,Chrome,Windows,146
1440,900,Chrome,Mac,147
1920,1080,Chrome,Windows,148
1368,912,Firefox,Windows,149
1366,768,Chrome,Windows,150
1440,900,Chrome,Mac,151
768,1024,Safari,Mac,152
1600,900,Chrome,Windows,153
1920,1200,Chrome,Mac,154
1600,900,Chrome,Windows,155
1280,800,Chrome,Mac,156
768,1024,Safari,Mac,157
1600,900,Chrome,Windows,158
1920,1080,Chrome,Windows,159
1920,1200,Chrome,Windows,160
1366,768,Chrome,Windows,161
1366,768,Chrome,Windows,162
1600,900,Chrome,Windows,163
375,667,Safari,iPhone/iPod,164
1920,1080,Chrome,Windows,165
1366,768,Chrome,Windows,166
1440,900,Chrome,Mac,167
1680,1050,Firefox,Windows,168
1440,900,Chrome,Mac,169
1440,900,Chrome,Mac,170
1366,768,Chrome,Windows,171
2560,1440,Chrome,Mac,172
800,1280,Chrome,Linux,173
960,540,Firefox,Mac,174
1366,768,Chrome,Windows,175
1280,720,Chrome,Windows,176
1280,720,Firefox,Windows,177
1536,864,Chrome,Windows,178
1366,768,Chrome,Windows,179
1680,1050,Chrome,Windows,180
601,962,Chrome,Linux,181
1600,900,Chrome,Windows,182
1280,1024,Chrome,Windows,183
1280,800,Safari,Mac,184
1244,778,Chrome,Windows,185
2560,1440,Chrome,Windows,186
1600,1200,Chrome,Windows,187
1536,864,Chrome,Windows,188
1440,900,Chrome,Mac,189
1440,900,Chrome,Mac,190
1440,900,Chrome,Mac,191
1536,864,Chrome,Windows,192
1536,864,Chrome,Windows,193
1280,800,Safari,Mac,194
601,962,Chrome,Linux,195
1280,800,Safari,Mac,196
1024,820,Chrome,Windows,197
2752,1152,Firefox,Windows,198
1093,614,Chrome,Windows,199
1920,1080,Chrome,Windows,200
1366,768,Chrome,Windows,201
1500,1000,Chrome,Windows,202
1600,900,Chrome,Windows,203
1600,900,Chrome,Windows,204
1920,1080,Chrome,Windows,205
1280,720,Chrome,Windows,206
1366,768,Chrome,Windows,207
1280,720,Chrome,Windows,208
1366,768,Chrome,Windows,209
1920,1200,Chrome,Windows,210
1366,768,Chrome,Linux,211
1366,768,Chrome,Windows,212
1024,768,Chrome,Windows,213
1440,900,Chrome,Mac,214
412,892,Chrome,Linux,215
960,1708,Firefox,Linux,216
1280,800,Firefox,Windows,217
1366,768,Chrome,Windows,218
600,1024,Chrome,Linux,219
1280,1024,Chrome,Windows,220
1536,864,Chrome,Windows,221
1364,768,Chrome,Windows,222
1368,912,Chrome,Windows,223
1600,900,Chrome,Windows,224
1366,768,Chrome,Windows,225
1536,864,Chrome,Windows,226
1366,768,Chrome,Windows,227
1366,768,Chrome,Windows,228
1920,1080,Chrome,Windows,229
1366,768,Chrome,Windows,230
1366,768,Chrome,Windows,231
1371,857,Chrome,Windows,232
1280,1024,Chrome,Windows,233
1366,768,Chrome,Windows,234
1229,691,Chrome,Windows,235
1920,1080,Chrome,Windows,236
414,896,Safari,iPhone/iPod,237
1142,761,Chrome,Windows,238
1366,768,Chrome,Windows,239
1366,768,Chrome,Windows,240
1920,1080,Chrome,Windows,241
1366,768,Chrome,Windows,242
1440,900,Chrome,Windows,243
1366,768,Chrome,Windows,244
1366,768,Chrome,Windows,245
1440,900,Chrome,Mac,246
1680,1050,Chrome,Mac,247
1600,900,Firefox,Windows,248
1280,1024,Chrome,Windows,249
375,812,Safari,iPhone/iPod,250
1696,954,Firefox,Windows,251
1366,768,Chrome,Linux,252
1366,768,Firefox,Windows,253
1366,768,Safari,Mac,254
1366,768,Chrome,Windows,255
1600,900,Firefox,Windows,256
1366,768,Chrome,Windows,257
1366,768,Chrome,Windows,258
1600,900,Chrome,Windows,259
1920,1080,Chrome,Windows,260
1366,768,Chrome,Windows,261
1920,1080,Chrome,Windows,262
1366,768,Chrome,Windows,263
1280,800,Safari,Mac,264
2560,1080,Chrome,Linux,265
1366,768,Chrome,Windows,266
1368,912,Chrome,Windows,267
1366,768,Chrome,Windows,268
1440,900,Chrome,Mac,269
1707,960,Chrome,Windows,270
1366,768,Chrome,Windows,271
1366,768,Chrome,Windows,272
1024,768,Chrome,Windows,273
1680,945,Chrome,Windows,274
1280,1024,Chrome,Windows,275
1440,900,Chrome,Windows,276
2560,1440,Chrome,Mac,277
1366,768,Chrome,Windows,278
2560,1440,Chrome,Mac,279
1366,768,Chrome,Linux,280
1280,1024,Chrome,Windows,281
1440,900,Chrome,Mac,282
1600,900,Chrome,Windows,283
1600,900,Firefox,Windows,284
1280,800,Chrome,Mac,285
2560,1080,Chrome,Windows,286
1366,768,Chrome,Mac,287
1920,1080,Firefox,Windows,288
1920,1080,Chrome,Windows,289
1536,864,Chrome,Windows,290
1366,768,Chrome,Windows,291
1138,640,Chrome,Windows,292
1366,768,Chrome,Windows,293
1366,768,Chrome,Windows,294
1366,768,Chrome,Linux,295
1241,698,Chrome,Linux,296
1440,900,Chrome,Mac,297
1280,720,Firefox,Windows,298
1920,1080,Chrome,Windows,299
1440,900,Chrome,Mac,300
1366,768,Chrome,Linux,301
1920,1080,Chrome,Windows,302
1366,768,Chrome,Windows,303
1920,1080,Chrome,Windows,304
2021,1137,Chrome,Windows,305
1920,1080,Chrome,Windows,306
1600,900,Chrome,Windows,307
1280,720,Firefox,Windows,308
1536,864,Chrome,Windows,309
1920,1080,Chrome,Windows,310
1365,1024,Chrome,Windows,311
1366,768,Chrome,Windows,312
1280,800,Safari,Mac,313
1280,800,Firefox,Mac,314
1280,1024,Chrome,Windows,315
1366,768,Firefox,Windows,316
1500,1000,Chrome,Windows,317
1680,1050,Chrome,Windows,318
1500,1000,Chrome,Windows,319
1920,1080,Chrome,Windows,320
1366,768,Chrome,Windows,321
1600,900,Chrome,Windows,322
800,1280,Chrome,Linux,323
1366,768,Chrome,Windows,324
1440,900,Chrome,Mac,325
1920,1080,Chrome,Windows,326
1366,768,Chrome,Windows,327
1366,768,Chrome,Windows,328
1280,720,Chrome,Windows,329
1366,768,Chrome,Windows,330
1920,1080,Chrome,Linux,331
1920,1200,Chrome,Mac,332
1440,900,Chrome,Mac,333
1876,1173,Firefox,Windows,334
1366,768,Chrome,Windows,335
1920,1080,Chrome,Windows,336
1366,768,Chrome,Windows,337
768,1024,Safari,an unknown OS,338
1920,1080,Firefox,Windows,339
1366,768,Chrome,Windows,340
1920,1200,Firefox,Windows,341
1366,768,Chrome,Linux,342
1440,900,Chrome,Mac,343
1536,864,Chrome,Windows,344
1366,768,Chrome,Windows,345
1366,768,Chrome,Windows,346
1536,864,Chrome,Windows,347
1366,768,Chrome,Windows,348
360,740,Chrome,Linux,349
1080,1920,Chrome,Windows,350
1280,854,Chrome,Windows,351
1366,768,Chrome,Windows,352
1600,900,Chrome,Windows,353
1368,912,Chrome,Windows,354
1440,900,Chrome,Mac,355
1366,768,Chrome,Windows,356
1366,768,Chrome,Windows,357
412,823,Chrome,Linux,358
1920,1080,Chrome,Windows,359
1920,1080,Chrome,Windows,360
1366,768,Chrome,Windows,361
1600,900,Chrome,Windows,362
1280,720,Chrome,Windows,363
1536,864,Chrome,Windows,364
1440,900,Safari,Mac,365
1280,720,Chrome,Windows,366
1920,1080,Chrome,Windows,367
2816,1584,Firefox,Windows,368
1920,1080,Chrome,Windows,369
1920,1080,Chrome,Windows,370
1920,1080,Chrome,Windows,371
1366,768,Chrome,Windows,372
360,640,Chrome,Linux,373
1680,1050,Safari,Mac,374
1024,768,Mozilla,Windows,375
1920,1080,Chrome,Windows,376
360,640,Chrome,Linux,377
1920,1080,Chrome,Windows,378
1440,900,Chrome,Mac,379
1440,900,Chrome,Mac,380
1366,768,Chrome,Linux,381
1366,768,Chrome,Windows,382
1366,768,Chrome,Windows,383
1536,864,Chrome,Windows,384
1920,1080,Chrome,Windows,385
1366,768,Chrome,Windows,386
768,1024,Safari,Mac,387
1366,768,Firefox,Windows,388
1920,1080,Chrome,Windows,389
412,892,Chrome,Linux,390
1440,900,Chrome,Mac,391
1366,768,Chrome,Windows,392
1920,1080,Firefox,Windows,393
1280,720,Chrome,Windows,394
1280,800,Chrome,Mac,395
1366,768,Chrome,Windows,396
1600,900,Chrome,Windows,397
1440,900,Safari,Mac,398
1920,1080,Chrome,Linux,399
1366,768,Chrome,Windows,400
1366,768,Chrome,Mac,401
1280,800,Chrome,Windows,402
1366,768,Chrome,Windows,403
1920,1080,Chrome,Windows,404
1920,1080,Chrome,Windows,405
1366,768,Chrome,Windows,406
375,667,Safari,iPhone/iPod,407
1600,900,Chrome,Windows,408
1920,1080,Firefox,Windows,409
1680,1050,Chrome,Windows,410
360,740,Chrome,Linux,411
1366,768,Firefox,Windows,412
1440,900,Chrome,Mac,413
1366,768,Chrome,Windows,414
1093,615,Chrome,Windows,415
360,720,Chrome,Linux,416
2195,1235,Chrome,Windows,417
1366,768,Chrome,Windows,418
1280,800,Firefox,Mac,419
1920,1080,Firefox,Windows,420
1536,864,Chrome,Windows,421
1366,768,Chrome,Windows,422
1680,1050,Firefox,Windows,423
1680,1050,Chrome,Windows,424
1920,1080,Chrome,Windows,425
1366,768,Chrome,Windows,426
1366,768,Chrome,Windows,427
1920,1080,Chrome,Mac,428
1366,768,Chrome,Windows,429
1440,810,Firefox,Windows,430
1366,768,Chrome,Linux,431
1536,864,Chrome,Windows,432
1280,800,Firefox,Linux,433
1600,900,Chrome,Windows,434
768,1024,Safari,an unknown OS,435
1920,1080,Chrome,Windows,436
1920,1080,Chrome,Windows,437
1440,900,Chrome,Mac,438
1366,768,Chrome,Windows,439
360,640,Chrome,Linux,440
1366,768,Chrome,Windows,441
1280,1024,Chrome,Windows,442
1366,768,Chrome,Windows,443
360,640,Chrome,Linux,444
375,812,Safari,iPhone/iPod,445
375,812,Safari,iPhone/iPod,446
1669,939,Chrome,Linux,447
1366,768,Chrome,Windows,448
1366,768,Chrome,Linux,449
1280,800,Chrome,Mac,450
1280,800,Chrome,Mac,451
412,846,Chrome,Linux,452
1920,1080,Chrome,Windows,453
412,823,Chrome,Linux,454
1920,1080,Chrome,Windows,455
1600,900,Chrome,Windows,456
360,740,Chrome,Linux,457
1600,900,Chrome,Windows,458
1920,1080,Firefox,Mac,459
1366,768,Chrome,Linux,460
1440,900,Safari,Mac,461
1920,1080,Chrome,Windows,462
1680,945,Chrome,Windows,463
1440,900,Chrome,Windows,464
1920,1080,Chrome,Windows,465
1536,864,Chrome,Windows,466
1280,800,Chrome,Mac,467
1920,1080,Chrome,Mac,468
1366,768,Chrome,Windows,469
1680,1050,Firefox,Windows,470
1280,800,Chrome,Windows,471
1600,900,Chrome,Windows,472
1440,900,Chrome,Windows,473
1366,768,Chrome,Windows,474
1280,1024,Chrome,Windows,475
1600,1000,Firefox,Windows,476
1280,1024,Chrome,Windows,477
1366,768,Chrome,Windows,478
1920,1080,Firefox,Windows,479
1024,768,Chrome,Windows,480
1536,864,Chrome,Windows,481
1366,768,Chrome,Windows,482
412,846,Chrome,Linux,483
1536,864,Chrome,Windows,484
1366,768,Chrome,Windows,485
1280,720,Chrome,Windows,486
1024,640,Chrome,Windows,487
1024,768,Chrome,Windows,488
375,667,Safari,iPhone/iPod,489
1536,864,Chrome,Windows,490
768,1024,Safari,Mac,491
1280,800,Chrome,Mac,492
1920,1080,Chrome,Windows,493
1366,768,Chrome,Linux,494
360,640,Chrome,Linux,495
1280,1024,Chrome,Windows,496
1280,768,Chrome,Windows,497
320,568,Safari,iPhone/iPod,498
1280,720,Chrome,Windows,499
1366,768,Chrome,Windows,500
1455,818,Chrome,Windows,501
1024,768,Chrome,Windows,502
1920,1080,Chrome,Windows,503
1440,900,Chrome,Mac,504
1280,800,Chrome,Mac,505
375,812,Safari,iPhone/iPod,506
1280,720,Chrome,Windows,507
1280,1024,Chrome,Windows,508
1680,1050,Chrome,Mac,509
1920,1200,Chrome,Windows,510
1366,768,Chrome,Windows,511
1920,1080,Chrome,Windows,512
1366,768,Chrome,Windows,513
1440,900,Chrome,Mac,514
1920,1080,Firefox,Windows,515
1366,768,Chrome,Windows,516
1366,768,Chrome,Windows,517
1680,1050,Chrome,Windows,518
1760,990,Firefox,Windows,519
1920,1080,Chrome,Windows,520
1376,774,Chrome,Windows,521
1920,1080,Chrome,Windows,522
1600,900,Firefox,Windows,523
1280,720,Chrome,Windows,524
1920,1080,Chrome,Windows,525
1600,900,Chrome,Windows,526
1366,768,Chrome,Windows,527
412,869,Chrome,Linux,528
1366,768,Chrome,Windows,529
1366,768,Chrome,Windows,530
1920,1080,Chrome,Windows,531
1280,720,Chrome,Windows,532
1366,768,Chrome,Windows,533
1600,900,Chrome,Windows,534
1366,768,Chrome,Windows,535
1920,1080,Chrome,Windows,536
1366,768,Chrome,Windows,537
1366,768,Chrome,Windows,538
1920,1200,Chrome,Windows,539
1280,720,Chrome,Windows,540
1920,1080,Chrome,Windows,541
1440,900,Safari,Mac,542
1093,614,Mozilla,Windows,543
1440,900,Chrome,Mac,544
1920,1080,Firefox,Windows,545
1366,768,Chrome,Windows,546
1920,1080,Chrome,Windows,547
962,601,Chrome,Linux,548
1920,1080,Firefox,Windows,549
1280,720,Chrome,Windows,550
1440,900,Chrome,Mac,551
1366,768,Chrome,Windows,552
1366,768,Chrome,Windows,553
1536,864,Chrome,Windows,554
412,846,Chrome,Linux,555
1920,1080,Firefox,Windows,556
1366,768,Chrome,Windows,557
1366,768,Chrome,Windows,558
768,1024,Safari,Mac,559
1536,864,Chrome,Windows,560
1280,800,Chrome,Windows,561
1920,1080,Chrome,Windows,562
1920,1080,Chrome,Windows,563
1366,768,Chrome,Windows,564
1600,900,Chrome,Windows,565
1366,768,Chrome,Linux,566
1366,768,Chrome,Windows,567
1920,1080,Firefox,Windows,568
1920,1080,Chrome,Windows,569
1024,768,Chrome,Windows,570
1536,864,Mozilla,Windows,571
1366,768,Chrome,Windows,572
1600,900,Chrome,Windows,573
1366,768,Chrome,Windows,574
1440,900,Chrome,Mac,575
1680,1050,Chrome,Mac,576
1440,900,Chrome,Mac,577
1600,900,Chrome,Windows,578
1231,692,Chrome,Windows,579
1366,768,Chrome,Windows,580
1300,731,Chrome,Linux,581
1366,768,Chrome,Windows,582
1242,698,Chrome,Windows,583
1920,1080,Chrome,Windows,584
1696,954,Firefox,Windows,585
1920,1080,Chrome,Windows,586
1680,1050,Safari,Mac,587
1680,1050,Chrome,Mac,588
1708,960,Chrome,Windows,589
1920,1080,Chrome,Windows,590
1280,720,Firefox,Windows,591
1680,1050,Chrome,Windows,592
1920,1200,Chrome,Windows,593
1366,768,Chrome,Windows,594
1366,768,Chrome,Windows,595
1920,1080,Firefox,Windows,596
1440,900,Chrome,Windows,597
1366,768,Chrome,Linux,598
360,640,Chrome,Linux,599
