screenH,OS,Browser,workerid,screenW
1080,Windows,Chrome,0,1920
800,Windows,Chrome,1,1280
1080,Windows,Chrome,2,1920
1080,Windows,Chrome,3,1920
864,Windows,Chrome,4,1536
640,Linux,Chrome,5,360
900,Windows,Firefox,6,1600
768,Windows,Firefox,7,1366
1080,Windows,Firefox,8,1920
900,Mac,Chrome,9,1440
768,Windows,Chrome,10,1366
1080,Linux,Chrome,11,1920
864,Windows,Chrome,12,1536
768,Windows,Chrome,13,1366
1080,Windows,Chrome,14,1920
900,Windows,Chrome,15,1600
1440,Windows,Chrome,16,2560
1080,Windows,Chrome,17,1920
1080,Windows,Chrome,18,1920
768,Linux,Chrome,19,1366
684,Windows,Firefox,20,1216
864,Windows,Chrome,21,1536
900,Windows,Chrome,22,1600
768,Windows,Chrome,23,1364
900,Mac,Safari,24,1440
900,Mac,Safari,25,1440
1080,Windows,Chrome,26,1920
768,Windows,Chrome,27,1366
1080,Windows,Chrome,28,1920
1152,Mac,Chrome,29,2048
720,Mac,Chrome,30,1152
1080,Windows,Chrome,31,1920
1024,Linux,Chrome,32,1280
768,Linux,Chrome,33,1366
667,Linux,Chrome,34,1187
900,Mac,Chrome,35,1440
768,Windows,Chrome,36,1366
1200,Windows,Chrome,37,1920
800,Mac,Chrome,38,1280
1080,Windows,Chrome,39,1920
900,Windows,Chrome,40,1600
768,Windows,Chrome,41,1366
768,Windows,Chrome,42,1366
720,Windows,Chrome,43,1280
720,Windows,Chrome,44,1280
1080,Windows,Chrome,45,1920
1080,Windows,Chrome,46,1920
960,Windows,Firefox,47,1708
768,Windows,Chrome,48,1366
800,Mac,Chrome,49,1280
864,Windows,Chrome,50,1536
1206,Windows,Firefox,51,2144
768,Windows,Chrome,52,1366
823,Linux,Chrome,53,412
900,Mac,Chrome,54,1440
720,Windows,Chrome,55,1280
614,Windows,Chrome,56,1093
1080,Windows,Chrome,57,1920
1080,Windows,Chrome,58,1920
768,Windows,Chrome,59,1366
1080,Windows,Chrome,60,1920
1080,Windows,Chrome,61,1920
768,Windows,Chrome,62,1024
800,Linux,Chrome,63,1280
1080,Windows,Chrome,64,1920
768,Windows,Chrome,65,1364
1050,Mac,Chrome,66,1680
864,Windows,Chrome,67,1536
640,Linux,Chrome,68,360
800,Windows,Chrome,69,1280
1080,Windows,Chrome,70,1920
768,Windows,Chrome,71,1366
768,Windows,Chrome,72,1024
768,Windows,Chrome,73,1024
1080,Windows,Firefox,74,1920
768,Windows,Chrome,75,1364
1152,Windows,Chrome,76,2048
740,Linux,Chrome,77,360
1080,Windows,Firefox,78,1920
800,Mac,Chrome,79,1280
768,Windows,Chrome,80,1366
864,Windows,Chrome,81,1536
1080,Windows,Firefox,82,1920
900,Mac,Chrome,83,1440
768,Windows,Chrome,84,1366
1080,Mac,Firefox,85,1920
768,Windows,Chrome,86,1366
962,Linux,Chrome,87,601
768,Windows,Chrome,88,1366
720,Windows,Chrome,89,1280
768,Windows,Chrome,90,1366
768,Windows,Chrome,91,1366
768,Windows,Firefox,92,1366
798,Windows,Chrome,93,1424
1080,Windows,Firefox,94,1920
1440,Windows,Chrome,95,2560
768,Windows,Chrome,96,1366
864,Windows,Chrome,97,1536
1080,Windows,Chrome,98,1920
900,Windows,Chrome,99,1600
768,Windows,Chrome,100,1366
1080,Windows,Firefox,101,1920
768,Windows,Chrome,102,1366
900,Mac,Chrome,103,1440
864,Windows,Chrome,104,1536
768,Windows,Chrome,105,1366
1440,Windows,Chrome,106,2560
768,Windows,Chrome,107,1366
900,Windows,Chrome,108,1440
768,Windows,Chrome,109,1366
768,Windows,Firefox,110,1366
768,Windows,Chrome,111,1366
768,Windows,Chrome,112,1366
900,Mac,Safari,113,1440
640,Linux,Chrome,114,360
864,Windows,Chrome,115,1536
768,Windows,Chrome,116,1366
864,Windows,Chrome,117,1536
800,Mac,Chrome,118,1280
900,Windows,Chrome,119,1600
800,Windows,Chrome,120,1280
858,Windows,Firefox,121,1525
900,Windows,Firefox,122,1600
667,iPhone/iPod,Safari,123,375
1080,Linux,Chrome,124,1920
1080,Windows,Chrome,125,1920
768,Windows,Chrome,126,1366
1080,Windows,Chrome,127,1920
900,Windows,Firefox,128,1600
1024,Mac,Safari,129,768
640,Linux,Chrome,130,360
768,Windows,Chrome,131,1364
720,Windows,Chrome,132,1280
768,Windows,Chrome,133,1366
768,Windows,Chrome,134,1366
900,Mac,Chrome,135,1440
768,Windows,Chrome,136,1366
720,Windows,Chrome,137,1280
768,Windows,Chrome,138,1366
900,Mac,Chrome,139,1440
768,Windows,Chrome,140,1366
768,Linux,Chrome,141,1366
864,Windows,Chrome,142,1536
880,Mac,Firefox,143,1408
1080,Windows,Chrome,144,1920
1080,Windows,Firefox,145,1920
768,Windows,Chrome,146,1366
864,Windows,Chrome,147,1536
768,Windows,Chrome,148,1366
1080,Windows,Chrome,149,1920
768,Windows,Chrome,150,1366
900,Windows,Firefox,151,1600
1440,Windows,Chrome,152,2560
768,Windows,Chrome,153,1366
1152,Windows,Chrome,154,2048
615,Windows,Chrome,155,1093
768,Windows,Chrome,156,1366
1050,Windows,Chrome,157,1680
768,Windows,Chrome,158,1366
1440,Windows,Firefox,159,2560
615,Windows,Chrome,160,1093
1005,Windows,Firefox,161,1787
1080,Windows,Chrome,162,1920
1080,Windows,Chrome,163,1920
768,Linux,Chrome,164,1366
1003,Windows,Chrome,165,1504
768,Windows,Chrome,166,1366
840,Windows,Chrome,167,1344
1080,Windows,Chrome,168,1920
1080,Windows,Chrome,169,1920
864,Windows,Chrome,170,1536
1080,Windows,Chrome,171,1920
768,Windows,Chrome,172,1366
900,Windows,Chrome,173,1600
900,Windows,Chrome,174,1600
676,Windows,Chrome,175,1203
700,Windows,Chrome,176,1120
1080,Windows,Chrome,177,1920
1080,Windows,Chrome,178,1920
768,Linux,Chrome,179,1366
900,Windows,Chrome,180,1600
912,Windows,Chrome,181,1368
768,Windows,Chrome,182,1366
900,Mac,Chrome,183,1440
1080,Windows,Chrome,184,1920
768,Windows,Chrome,185,1364
768,Windows,Chrome,186,1366
1080,Windows,Chrome,187,1920
720,Windows,Chrome,188,1280
900,Mac,Safari,189,1440
1080,Windows,Chrome,190,1920
1080,Linux,Chrome,191,1920
768,Windows,Chrome,192,1024
615,Windows,Chrome,193,1093
853,Linux,Chrome,194,1517
1080,Windows,Chrome,195,1920
768,Windows,Chrome,196,1366
750,Linux,Chrome,197,1200
1080,Windows,Chrome,198,1920
1080,Windows,Firefox,199,1920
1152,Windows,Chrome,200,2048
768,Linux,Chrome,201,1366
900,Windows,Chrome,202,1600
768,Windows,Chrome,203,1366
864,Linux,Chrome,204,1536
1080,Windows,Chrome,205,1920
768,Linux,Chrome,206,1366
1080,Windows,Firefox,207,1920
768,Windows,Chrome,208,1366
1080,Windows,Chrome,209,1920
900,Windows,Chrome,210,1600
768,Windows,Chrome,211,1364
768,Windows,Chrome,212,1366
768,Windows,Chrome,213,1364
1080,Windows,Chrome,214,1920
768,Windows,Chrome,215,1366
768,Windows,Chrome,216,1366
1080,Windows,Chrome,217,1920
800,Windows,Chrome,218,1280
1050,Windows,Chrome,219,1680
864,Windows,Chrome,220,1536
768,Windows,Chrome,221,1024
768,Windows,Chrome,222,1366
864,Windows,Chrome,223,1536
768,Windows,Chrome,224,1360
800,Mac,Chrome,225,1280
768,Windows,Chrome,226,1366
800,Mac,Chrome,227,1280
864,Windows,Chrome,228,1536
768,Windows,Chrome,229,1366
768,Windows,Chrome,230,1366
900,Windows,Chrome,231,1440
1080,Windows,Chrome,232,1920
800,Mac,Safari,233,1280
800,Mac,Chrome,234,1280
864,Windows,Chrome,235,1536
768,Windows,Chrome,236,1366
768,Windows,Chrome,237,1366
1440,Windows,Chrome,238,2560
768,Windows,Chrome,239,1366
900,Windows,Firefox,240,1600
900,Windows,Chrome,241,1600
768,Windows,Chrome,242,1366
900,Windows,Chrome,243,1440
768,Windows,Chrome,244,1366
768,Windows,Chrome,245,1280
768,Windows,Firefox,246,1366
864,Linux,Chrome,247,1536
720,Windows,Chrome,248,1280
774,Windows,Firefox,249,1376
731,Linux,Chrome,250,1300
1080,Windows,Firefox,251,1920
768,Windows,Chrome,252,1366
900,Mac,Chrome,253,1440
768,Windows,Chrome,254,1366
1080,Windows,Chrome,255,1920
1080,Windows,Chrome,256,1920
768,Windows,Chrome,257,1366
1080,Windows,Chrome,258,1920
864,Windows,Chrome,259,1536
864,Windows,Chrome,260,1536
768,Windows,Chrome,261,1366
900,Mac,Chrome,262,1440
1050,Windows,Chrome,263,1680
900,Windows,Firefox,264,1440
768,Windows,Chrome,265,1366
768,Windows,Chrome,266,1366
1080,Windows,Firefox,267,1920
768,Windows,Chrome,268,1366
864,Windows,Chrome,269,1536
1080,Linux,Firefox,270,1920
900,Windows,Chrome,271,1440
768,Windows,Chrome,272,1366
1080,Windows,Chrome,273,1920
768,Linux,Chrome,274,1366
768,Windows,Chrome,275,1024
768,Windows,Chrome,276,1366
800,Mac,Chrome,277,1280
768,Windows,Firefox,278,1366
1024,Windows,Chrome,279,1280
768,Windows,Chrome,280,1366
1080,Windows,Chrome,281,1920
800,Mac,Safari,282,1280
900,Windows,Firefox,283,1600
768,Windows,Chrome,284,1366
900,Mac,Chrome,285,1440
768,Windows,Chrome,286,1366
900,Windows,Firefox,287,1600
1080,Windows,Chrome,288,1920
900,Mac,Chrome,289,1440
768,Windows,Chrome,290,1366
800,Mac,Chrome,291,1280
1080,Windows,Firefox,292,1920
768,Windows,Chrome,293,1364
768,Windows,Chrome,294,1366
768,Windows,Chrome,295,1366
768,Windows,Chrome,296,1366
1080,Mac,Chrome,297,1920
900,Windows,Firefox,298,1600
768,Windows,Chrome,299,1366
