workerid,item,slide_number,number,context,response,Answer.time_in_minutes,Answer.condition,trial_type
0,,,,,0.68,2.4566,twowithout,one_slider_practice
0,,,,,0.76,2.4566,twowithout,one_slider_practice
0,control1,6,four,without,0.58,2.4566,twowithout,one_slider
0,frog,7,four,without,0.67,2.4566,twowithout,one_slider
0,control3,8,two,with,0.75,2.4566,twowithout,one_slider
0,lions,9,two,with,0.33,2.4566,twowithout,one_slider
0,butterflies,10,four,with,0.7,2.4566,twowithout,one_slider
0,control2,11,four,without,0.72,2.4566,twowithout,one_slider
0,dinosaurs,12,two,without,0.72,2.4566,twowithout,one_slider
1,,,,,0.96,8.863333333333333,fourwithout,one_slider_practice
1,,,,,0,8.863333333333333,fourwithout,one_slider_practice
1,control1,6,four,with,0,8.863333333333333,fourwithout,one_slider
1,lions,7,two,without,1,8.863333333333333,fourwithout,one_slider
1,butterflies,8,two,without,0,8.863333333333333,fourwithout,one_slider
1,dinosaurs,9,two,with,1,8.863333333333333,fourwithout,one_slider
1,control2,10,four,with,0.53,8.863333333333333,fourwithout,one_slider
1,frog,11,two,without,0.72,8.863333333333333,fourwithout,one_slider
1,control3,12,four,without,0,8.863333333333333,fourwithout,one_slider
2,,,,,1,4.47775,fourwithout,one_slider_practice
2,,,,,0,4.47775,fourwithout,one_slider_practice
2,dinosaurs,6,two,with,0,4.47775,fourwithout,one_slider
2,butterflies,7,two,without,1,4.47775,fourwithout,one_slider
2,lions,8,four,without,0.99,4.47775,fourwithout,one_slider
2,control1,9,two,without,1,4.47775,fourwithout,one_slider
2,frog,10,four,without,1,4.47775,fourwithout,one_slider
2,control3,11,two,without,0,4.47775,fourwithout,one_slider
2,control2,12,four,without,1,4.47775,fourwithout,one_slider
3,,,,,0.75,7.154566666666667,fourwith,one_slider_practice
3,,,,,0.31,7.154566666666667,fourwith,one_slider_practice
3,lions,6,two,without,1,7.154566666666667,fourwith,one_slider
3,control2,7,four,with,1,7.154566666666667,fourwith,one_slider
3,control1,8,four,with,0,7.154566666666667,fourwith,one_slider
3,control3,9,two,with,0,7.154566666666667,fourwith,one_slider
3,dinosaurs,10,two,without,1,7.154566666666667,fourwith,one_slider
3,butterflies,11,four,with,1,7.154566666666667,fourwith,one_slider
3,frog,12,four,with,1,7.154566666666667,fourwith,one_slider
4,,,,,1,4.709983333333334,fourwithout,one_slider_practice
4,,,,,0,4.709983333333334,fourwithout,one_slider_practice
4,lions,6,two,with,0,4.709983333333334,fourwithout,one_slider
4,dinosaurs,7,four,without,1,4.709983333333334,fourwithout,one_slider
4,control1,8,four,with,0,4.709983333333334,fourwithout,one_slider
4,control2,9,four,without,1,4.709983333333334,fourwithout,one_slider
4,butterflies,10,two,without,0,4.709983333333334,fourwithout,one_slider
4,control3,11,two,without,0,4.709983333333334,fourwithout,one_slider
4,frog,12,four,without,1,4.709983333333334,fourwithout,one_slider
5,,,,,0.98,5.94485,fourwithout,one_slider_practice
5,,,,,0,5.94485,fourwithout,one_slider_practice
5,control2,6,four,without,1,5.94485,fourwithout,one_slider
5,lions,7,two,without,0,5.94485,fourwithout,one_slider
5,control3,8,four,without,0,5.94485,fourwithout,one_slider
5,control1,9,four,with,0,5.94485,fourwithout,one_slider
5,dinosaurs,10,two,with,0,5.94485,fourwithout,one_slider
5,frog,11,four,without,1,5.94485,fourwithout,one_slider
5,butterflies,12,four,without,1,5.94485,fourwithout,one_slider
6,,,,,1,15.146683333333334,twowith,one_slider_practice
6,,,,,0,15.146683333333334,twowith,one_slider_practice
6,lions,6,two,without,0,15.146683333333334,twowith,one_slider
6,control2,7,four,with,1,15.146683333333334,twowith,one_slider
6,dinosaurs,8,four,with,1,15.146683333333334,twowith,one_slider
6,control1,9,four,with,0,15.146683333333334,twowith,one_slider
6,control3,10,four,with,0,15.146683333333334,twowith,one_slider
6,butterflies,11,four,without,0.97,15.146683333333334,twowith,one_slider
6,frog,12,two,with,1,15.146683333333334,twowith,one_slider
7,,,,,0.99,11.335033333333334,twowithout,one_slider_practice
7,,,,,0.02,11.335033333333334,twowithout,one_slider_practice
7,control1,6,two,with,0.03,11.335033333333334,twowithout,one_slider
7,lions,7,four,with,0.03,11.335033333333334,twowithout,one_slider
7,control2,8,two,without,0.97,11.335033333333334,twowithout,one_slider
7,frog,9,four,without,0.98,11.335033333333334,twowithout,one_slider
7,control3,10,two,without,0.02,11.335033333333334,twowithout,one_slider
7,dinosaurs,11,two,with,0.97,11.335033333333334,twowithout,one_slider
7,butterflies,12,two,without,0.97,11.335033333333334,twowithout,one_slider
8,,,,,0.97,3.3242833333333333,twowith,one_slider_practice
8,,,,,0.03,3.3242833333333333,twowith,one_slider_practice
8,frog,6,four,with,0.97,3.3242833333333333,twowith,one_slider
8,butterflies,7,four,without,0.96,3.3242833333333333,twowith,one_slider
8,control1,8,four,with,0.02,3.3242833333333333,twowith,one_slider
8,control2,9,two,with,0.97,3.3242833333333333,twowith,one_slider
8,lions,10,two,without,0,3.3242833333333333,twowith,one_slider
8,dinosaurs,11,four,without,0.96,3.3242833333333333,twowith,one_slider
8,control3,12,two,with,0,3.3242833333333333,twowith,one_slider
9,,,,,0.97,3.36535,twowith,one_slider_practice
9,,,,,0.04,3.36535,twowith,one_slider_practice
9,lions,6,two,with,0,3.36535,twowith,one_slider
9,control1,7,four,without,0,3.36535,twowith,one_slider
9,control3,8,four,with,0,3.36535,twowith,one_slider
9,frog,9,two,with,0,3.36535,twowith,one_slider
9,butterflies,10,two,without,1,3.36535,twowith,one_slider
9,control2,11,four,without,1,3.36535,twowith,one_slider
9,dinosaurs,12,two,with,0.01,3.36535,twowith,one_slider
10,,,,,1,1.9192666666666667,fourwith,one_slider_practice
10,,,,,0,1.9192666666666667,fourwith,one_slider_practice
10,dinosaurs,6,two,without,0,1.9192666666666667,fourwith,one_slider
10,butterflies,7,four,without,1,1.9192666666666667,fourwith,one_slider
10,lions,8,four,with,0,1.9192666666666667,fourwith,one_slider
10,control1,9,two,without,0,1.9192666666666667,fourwith,one_slider
10,control2,10,two,with,1,1.9192666666666667,fourwith,one_slider
10,frog,11,two,with,1,1.9192666666666667,fourwith,one_slider
10,control3,12,four,with,0,1.9192666666666667,fourwith,one_slider
11,,,,,0.42,6.004883333333333,fourwith,one_slider_practice
11,,,,,0.62,6.004883333333333,fourwith,one_slider_practice
11,frog,6,four,without,0.67,6.004883333333333,fourwith,one_slider
11,control1,7,two,with,0.6,6.004883333333333,fourwith,one_slider
11,control3,8,two,with,0.76,6.004883333333333,fourwith,one_slider
11,lions,9,two,without,0.53,6.004883333333333,fourwith,one_slider
11,dinosaurs,10,two,without,0.37,6.004883333333333,fourwith,one_slider
11,control2,11,two,with,0.67,6.004883333333333,fourwith,one_slider
11,butterflies,12,four,with,0.6,6.004883333333333,fourwith,one_slider
12,,,,,0.98,3.3219,fourwithout,one_slider_practice
12,,,,,0,3.3219,fourwithout,one_slider_practice
12,frog,6,four,without,0.97,3.3219,fourwithout,one_slider
12,control3,7,two,without,0,3.3219,fourwithout,one_slider
12,dinosaurs,8,four,without,0.98,3.3219,fourwithout,one_slider
12,control2,9,four,without,0.99,3.3219,fourwithout,one_slider
12,control1,10,two,with,0,3.3219,fourwithout,one_slider
12,lions,11,two,with,0.98,3.3219,fourwithout,one_slider
12,butterflies,12,four,without,0.99,3.3219,fourwithout,one_slider
13,,,,,1,18.5744,fourwithout,one_slider_practice
13,,,,,0.3,18.5744,fourwithout,one_slider_practice
13,control1,6,four,with,0,18.5744,fourwithout,one_slider
13,control2,7,four,with,0.8,18.5744,fourwithout,one_slider
13,control3,8,four,with,0,18.5744,fourwithout,one_slider
13,dinosaurs,9,two,without,0.01,18.5744,fourwithout,one_slider
13,butterflies,10,four,without,1,18.5744,fourwithout,one_slider
13,frog,11,four,without,0.98,18.5744,fourwithout,one_slider
13,lions,12,four,without,0.98,18.5744,fourwithout,one_slider
14,,,,,1,3.97465,twowith,one_slider_practice
14,,,,,0,3.97465,twowith,one_slider_practice
14,frog,6,four,with,1,3.97465,twowith,one_slider
14,control3,7,four,without,0,3.97465,twowith,one_slider
14,control2,8,four,with,1,3.97465,twowith,one_slider
14,butterflies,9,two,without,0,3.97465,twowith,one_slider
14,dinosaurs,10,two,without,0,3.97465,twowith,one_slider
14,control1,11,four,without,0,3.97465,twowith,one_slider
14,lions,12,two,with,1,3.97465,twowith,one_slider
15,,,,,1,5.020733333333333,twowith,one_slider_practice
15,,,,,0,5.020733333333333,twowith,one_slider_practice
15,control2,6,two,with,1,5.020733333333333,twowith,one_slider
15,frog,7,two,without,1,5.020733333333333,twowith,one_slider
15,lions,8,four,with,0,5.020733333333333,twowith,one_slider
15,control3,9,two,without,0,5.020733333333333,twowith,one_slider
15,dinosaurs,10,four,with,1,5.020733333333333,twowith,one_slider
15,butterflies,11,four,with,1,5.020733333333333,twowith,one_slider
15,control1,12,two,with,0,5.020733333333333,twowith,one_slider
16,,,,,1,3.3250166666666665,twowith,one_slider_practice
16,,,,,0,3.3250166666666665,twowith,one_slider_practice
16,lions,6,four,with,1,3.3250166666666665,twowith,one_slider
16,control1,7,two,with,0,3.3250166666666665,twowith,one_slider
16,frog,8,four,without,1,3.3250166666666665,twowith,one_slider
16,control3,9,four,with,0,3.3250166666666665,twowith,one_slider
16,butterflies,10,two,with,0,3.3250166666666665,twowith,one_slider
16,dinosaurs,11,four,with,1,3.3250166666666665,twowith,one_slider
16,control2,12,two,with,1,3.3250166666666665,twowith,one_slider
17,,,,,0,7.258483333333333,twowithout,one_slider_practice
17,,,,,0,7.258483333333333,twowithout,one_slider_practice
17,lions,6,four,without,1,7.258483333333333,twowithout,one_slider
17,control3,7,two,with,0,7.258483333333333,twowithout,one_slider
17,butterflies,8,two,with,1,7.258483333333333,twowithout,one_slider
17,frog,9,four,with,1,7.258483333333333,twowithout,one_slider
17,dinosaurs,10,four,with,1,7.258483333333333,twowithout,one_slider
17,control1,11,four,without,0,7.258483333333333,twowithout,one_slider
17,control2,12,two,without,1,7.258483333333333,twowithout,one_slider
18,,,,,0.97,4.73605,fourwith,one_slider_practice
18,,,,,0,4.73605,fourwith,one_slider_practice
18,control1,6,two,with,0,4.73605,fourwith,one_slider
18,control2,7,four,without,1,4.73605,fourwith,one_slider
18,frog,8,two,with,1,4.73605,fourwith,one_slider
18,control3,9,four,with,0,4.73605,fourwith,one_slider
18,dinosaurs,10,two,without,0,4.73605,fourwith,one_slider
18,lions,11,two,without,0,4.73605,fourwith,one_slider
18,butterflies,12,four,with,0.98,4.73605,fourwith,one_slider
19,,,,,1,5.006183333333333,twowith,one_slider_practice
19,,,,,0,5.006183333333333,twowith,one_slider_practice
19,lions,6,four,with,0.01,5.006183333333333,twowith,one_slider
19,control1,7,two,with,0.02,5.006183333333333,twowith,one_slider
19,control2,8,two,without,0.98,5.006183333333333,twowith,one_slider
19,dinosaurs,9,two,without,0.98,5.006183333333333,twowith,one_slider
19,frog,10,four,with,0.99,5.006183333333333,twowith,one_slider
19,butterflies,11,four,with,0.98,5.006183333333333,twowith,one_slider
19,control3,12,two,with,0.02,5.006183333333333,twowith,one_slider
20,,,,,0.98,2.676083333333333,twowith,one_slider_practice
20,,,,,0.01,2.676083333333333,twowith,one_slider_practice
20,frog,6,four,without,0.98,2.676083333333333,twowith,one_slider
20,control2,7,four,without,0.98,2.676083333333333,twowith,one_slider
20,control1,8,four,with,0.03,2.676083333333333,twowith,one_slider
20,dinosaurs,9,four,with,0.98,2.676083333333333,twowith,one_slider
20,lions,10,two,with,0.94,2.676083333333333,twowith,one_slider
20,butterflies,11,four,without,0.97,2.676083333333333,twowith,one_slider
20,control3,12,two,with,0.01,2.676083333333333,twowith,one_slider
21,,,,,0.03,4.2374833333333335,fourwith,one_slider_practice
21,,,,,0.04,4.2374833333333335,fourwith,one_slider_practice
21,dinosaurs,6,four,without,0.93,4.2374833333333335,fourwith,one_slider
21,control2,7,four,with,0.98,4.2374833333333335,fourwith,one_slider
21,lions,8,four,with,0.02,4.2374833333333335,fourwith,one_slider
21,control3,9,four,with,0.03,4.2374833333333335,fourwith,one_slider
21,butterflies,10,four,without,0.94,4.2374833333333335,fourwith,one_slider
21,control1,11,two,with,0.05,4.2374833333333335,fourwith,one_slider
21,frog,12,four,with,0.95,4.2374833333333335,fourwith,one_slider
22,,,,,1,6.2871,fourwith,one_slider_practice
22,,,,,0,6.2871,fourwith,one_slider_practice
22,control3,6,four,without,0,6.2871,fourwith,one_slider
22,frog,7,four,without,1,6.2871,fourwith,one_slider
22,lions,8,two,with,0.69,6.2871,fourwith,one_slider
22,dinosaurs,9,two,with,1,6.2871,fourwith,one_slider
22,control1,10,two,with,0,6.2871,fourwith,one_slider
22,butterflies,11,four,without,1,6.2871,fourwith,one_slider
22,control2,12,four,with,1,6.2871,fourwith,one_slider
23,,,,,0.97,6.644966666666667,fourwith,one_slider_practice
23,,,,,0,6.644966666666667,fourwith,one_slider_practice
23,control2,6,two,without,0.99,6.644966666666667,fourwith,one_slider
23,frog,7,two,with,0.99,6.644966666666667,fourwith,one_slider
23,butterflies,8,four,with,0.98,6.644966666666667,fourwith,one_slider
23,dinosaurs,9,four,without,0.98,6.644966666666667,fourwith,one_slider
23,control3,10,two,with,0,6.644966666666667,fourwith,one_slider
23,lions,11,four,without,1,6.644966666666667,fourwith,one_slider
23,control1,12,four,with,0.01,6.644966666666667,fourwith,one_slider
24,,,,,0.94,4.8594,twowithout,one_slider_practice
24,,,,,0.05,4.8594,twowithout,one_slider_practice
24,control3,6,two,with,0.06,4.8594,twowithout,one_slider
24,control1,7,four,with,0.11,4.8594,twowithout,one_slider
24,lions,8,four,with,0,4.8594,twowithout,one_slider
24,control2,9,two,without,0.94,4.8594,twowithout,one_slider
24,frog,10,two,with,0.07,4.8594,twowithout,one_slider
24,dinosaurs,11,two,with,0.08,4.8594,twowithout,one_slider
24,butterflies,12,two,without,0.05,4.8594,twowithout,one_slider
25,,,,,0.97,2.12515,fourwith,one_slider_practice
25,,,,,0,2.12515,fourwith,one_slider_practice
25,control1,6,four,with,0,2.12515,fourwith,one_slider
25,control2,7,two,without,0.93,2.12515,fourwith,one_slider
25,frog,8,four,without,0.93,2.12515,fourwith,one_slider
25,butterflies,9,two,without,0.93,2.12515,fourwith,one_slider
25,dinosaurs,10,two,with,0.02,2.12515,fourwith,one_slider
25,control3,11,two,with,0.16,2.12515,fourwith,one_slider
25,lions,12,four,with,0.01,2.12515,fourwith,one_slider
26,,,,,1,4.0465,twowith,one_slider_practice
26,,,,,0,4.0465,twowith,one_slider_practice
26,control1,6,two,with,0,4.0465,twowith,one_slider
26,frog,7,two,with,1,4.0465,twowith,one_slider
26,control3,8,four,with,0,4.0465,twowith,one_slider
26,lions,9,four,with,0,4.0465,twowith,one_slider
26,dinosaurs,10,two,without,0.75,4.0465,twowith,one_slider
26,control2,11,four,with,1,4.0465,twowith,one_slider
26,butterflies,12,two,with,0,4.0465,twowith,one_slider
27,,,,,0.68,0.8252333333333334,fourwith,one_slider_practice
27,,,,,0.41,0.8252333333333334,fourwith,one_slider_practice
27,dinosaurs,6,four,without,0.59,0.8252333333333334,fourwith,one_slider
27,frog,7,two,with,0.63,0.8252333333333334,fourwith,one_slider
27,control1,8,four,without,0.73,0.8252333333333334,fourwith,one_slider
27,control3,9,four,without,0.61,0.8252333333333334,fourwith,one_slider
27,butterflies,10,two,with,0.74,0.8252333333333334,fourwith,one_slider
27,lions,11,four,with,0.88,0.8252333333333334,fourwith,one_slider
27,control2,12,four,with,0.45,0.8252333333333334,fourwith,one_slider
28,,,,,1,4.288033333333333,fourwith,one_slider_practice
28,,,,,0,4.288033333333333,fourwith,one_slider_practice
28,dinosaurs,6,two,with,1,4.288033333333333,fourwith,one_slider
28,frog,7,four,without,0.68,4.288033333333333,fourwith,one_slider
28,control1,8,four,without,0,4.288033333333333,fourwith,one_slider
28,control2,9,two,without,0.98,4.288033333333333,fourwith,one_slider
28,butterflies,10,two,with,1,4.288033333333333,fourwith,one_slider
28,control3,11,two,without,0.02,4.288033333333333,fourwith,one_slider
28,lions,12,four,with,0,4.288033333333333,fourwith,one_slider
29,,,,,1,3.69765,twowithout,one_slider_practice
29,,,,,0,3.69765,twowithout,one_slider_practice
29,control2,6,two,with,0.99,3.69765,twowithout,one_slider
29,frog,7,four,with,1,3.69765,twowithout,one_slider
29,dinosaurs,8,two,with,1,3.69765,twowithout,one_slider
29,lions,9,two,without,1,3.69765,twowithout,one_slider
29,control3,10,four,without,0,3.69765,twowithout,one_slider
29,butterflies,11,four,without,1,3.69765,twowithout,one_slider
29,control1,12,two,without,0,3.69765,twowithout,one_slider
30,,,,,0.1,3.5725333333333333,fourwith,one_slider_practice
30,,,,,0.06,3.5725333333333333,fourwith,one_slider_practice
30,dinosaurs,6,four,without,0.76,3.5725333333333333,fourwith,one_slider
30,control2,7,two,with,0.76,3.5725333333333333,fourwith,one_slider
30,lions,8,four,with,0.11,3.5725333333333333,fourwith,one_slider
30,control3,9,two,with,0.15,3.5725333333333333,fourwith,one_slider
30,frog,10,two,with,0.28,3.5725333333333333,fourwith,one_slider
30,butterflies,11,four,with,0.8,3.5725333333333333,fourwith,one_slider
30,control1,12,four,with,0.23,3.5725333333333333,fourwith,one_slider
31,,,,,1,3.4424,fourwith,one_slider_practice
31,,,,,0,3.4424,fourwith,one_slider_practice
31,dinosaurs,6,two,without,0.06,3.4424,fourwith,one_slider
31,butterflies,7,four,without,0.93,3.4424,fourwith,one_slider
31,frog,8,two,with,0.96,3.4424,fourwith,one_slider
31,control2,9,two,with,0.97,3.4424,fourwith,one_slider
31,control3,10,four,with,0.04,3.4424,fourwith,one_slider
31,lions,11,two,with,0.95,3.4424,fourwith,one_slider
31,control1,12,four,with,0.04,3.4424,fourwith,one_slider
32,,,,,0.99,5.08215,fourwith,one_slider_practice
32,,,,,0,5.08215,fourwith,one_slider_practice
32,dinosaurs,6,two,with,0.99,5.08215,fourwith,one_slider
32,control1,7,two,without,0.01,5.08215,fourwith,one_slider
32,lions,8,two,without,0.01,5.08215,fourwith,one_slider
32,control3,9,four,without,0.01,5.08215,fourwith,one_slider
32,butterflies,10,four,without,0.98,5.08215,fourwith,one_slider
32,control2,11,four,with,0.99,5.08215,fourwith,one_slider
32,frog,12,four,with,0.98,5.08215,fourwith,one_slider
33,,,,,0.97,5.88665,twowith,one_slider_practice
33,,,,,0.02,5.88665,twowith,one_slider_practice
33,lions,6,four,with,0.03,5.88665,twowith,one_slider
33,control2,7,four,without,0.96,5.88665,twowith,one_slider
33,control1,8,two,with,0.02,5.88665,twowith,one_slider
33,butterflies,9,two,with,0.02,5.88665,twowith,one_slider
33,dinosaurs,10,four,without,0.99,5.88665,twowith,one_slider
33,frog,11,four,with,0.97,5.88665,twowith,one_slider
33,control3,12,two,with,0,5.88665,twowith,one_slider
34,,,,,0.81,3.0406333333333335,twowithout,one_slider_practice
34,,,,,0.13,3.0406333333333335,twowithout,one_slider_practice
34,butterflies,6,four,without,0.79,3.0406333333333335,twowithout,one_slider
34,lions,7,four,with,0.14,3.0406333333333335,twowithout,one_slider
34,control3,8,four,without,0.14,3.0406333333333335,twowithout,one_slider
34,dinosaurs,9,two,without,0.11,3.0406333333333335,twowithout,one_slider
34,control1,10,two,without,0.15,3.0406333333333335,twowithout,one_slider
34,control2,11,two,with,0.82,3.0406333333333335,twowithout,one_slider
34,frog,12,two,without,0.12,3.0406333333333335,twowithout,one_slider
