Browser,screenH,workerid,screenW,OS
Chrome,768,0,1366,Windows
Chrome,768,1,1366,Windows
Chrome,768,2,1366,Windows
Chrome,768,3,1366,Windows
Chrome,1080,4,1920,Windows
Chrome,864,5,1536,Linux
Chrome,768,6,1366,Windows
Chrome,768,7,1366,Windows
Chrome,720,8,360,Linux
Chrome,900,9,1440,Mac
Chrome,720,10,1280,Windows
Chrome,900,11,1600,Windows
Chrome,1080,12,1920,Windows
Chrome,786,13,393,Linux
Chrome,768,14,1366,Windows
Chrome,768,15,1366,Windows
Chrome,768,16,1366,Windows
Chrome,640,17,360,Linux
Chrome,768,18,1366,Windows
Chrome,768,19,1366,Windows
Chrome,768,20,1366,Linux
Chrome,768,21,1366,Windows
Chrome,768,22,1366,Windows
Chrome,768,23,1366,Windows
Chrome,800,24,1280,Mac
Chrome,900,25,1600,Windows
Chrome,768,26,1366,Windows
Firefox,704,27,1252,Windows
Chrome,640,28,1024,Windows
Chrome,768,29,1366,Windows
Chrome,768,30,1366,Windows
Chrome,780,31,360,Linux
Chrome,1080,32,1920,Windows
Chrome,1024,33,1280,Windows
Chrome,864,34,1536,Windows
Chrome,768,35,1366,Windows
Chrome,768,36,1360,Windows
Chrome,900,37,1440,Windows
Chrome,800,38,1280,Mac
Chrome,768,39,1366,Windows
Safari,896,40,414,iPhone/iPod
Chrome,1024,41,1280,Windows
Chrome,768,42,1366,Windows
Chrome,768,43,1366,Windows
Chrome,768,44,1366,Windows
Chrome,768,45,1366,Windows
Chrome,900,46,1600,Windows
Chrome,800,47,1280,Windows
Chrome,1080,48,1920,Windows
Chrome,768,49,1366,Windows
Chrome,900,50,1440,Windows
Chrome,900,51,1440,Windows
Safari,1080,52,1920,Mac
Chrome,768,53,1366,Windows
Chrome,768,54,1366,Windows
Firefox,768,55,1366,Windows
Chrome,1080,56,1920,Mac
Chrome,800,57,1280,Windows
Chrome,768,58,1366,Windows
Chrome,768,59,1366,Windows
Chrome,768,60,1366,Windows
Chrome,1080,61,1920,Windows
Chrome,1080,62,1920,Windows
Firefox,768,63,1366,Windows
Chrome,768,64,1366,Windows
Firefox,768,65,1366,Windows
Chrome,615,66,1093,Windows
Chrome,1080,67,1620,Windows
Chrome,768,68,1366,Windows
Chrome,768,69,1366,Windows
Chrome,768,70,1366,Windows
Chrome,768,71,1366,Windows
Chrome,900,72,1600,Windows
Chrome,768,73,1366,Windows
Chrome,768,74,1366,Windows
Chrome,800,75,1280,Windows
Chrome,768,76,1366,Linux
Chrome,768,77,1360,Windows
Chrome,768,78,1366,Windows
Chrome,768,79,1024,Windows
Chrome,768,80,1366,Windows
Chrome,900,81,1440,Windows
Chrome,768,82,1024,Windows
Chrome,1050,83,1680,Mac
Chrome,864,84,1536,Windows
Chrome,768,85,1366,Windows
Chrome,864,86,1536,Windows
Chrome,768,87,1366,Windows
Chrome,768,88,1366,Windows
Chrome,768,89,1366,Windows
Chrome,1024,90,1280,Windows
Chrome,768,91,1366,Windows
Chrome,864,92,1536,Windows
Chrome,640,93,360,Linux
Chrome,1080,94,1920,Windows
Chrome,1080,95,1920,Windows
Safari,900,96,1440,Mac
Chrome,768,97,1366,Windows
Chrome,720,98,1280,Windows
Chrome,864,99,1536,Windows
Chrome,768,100,1366,Windows
Chrome,800,101,1280,Windows
Chrome,726,102,1289,Windows
Chrome,864,103,1536,Windows
Chrome,720,104,1280,Windows
Chrome,768,105,1366,Windows
Chrome,768,106,1366,Windows
Chrome,900,107,1600,Windows
Chrome,1024,108,1280,Windows
Chrome,1080,109,1920,Windows
Chrome,900,110,1440,Mac
Chrome,1080,111,1920,Windows
Chrome,615,112,1093,Windows
Chrome,768,113,1366,Windows
Chrome,720,114,1280,Windows
Chrome,768,115,1366,Windows
Chrome,800,116,1280,Mac
Chrome,900,117,1440,Mac
Chrome,768,118,1366,Windows
Chrome,800,119,1280,Windows
Chrome,768,120,1366,Windows
Chrome,800,121,1280,Windows
Chrome,900,122,1440,Mac
Chrome,768,123,1366,Windows
Chrome,768,124,1366,Windows
Chrome,1080,125,1920,Windows
Chrome,720,126,1152,Windows
Chrome,1024,127,1280,Windows
Chrome,720,128,1280,Windows
Chrome,1080,129,1920,Windows
Chrome,800,130,1280,Mac
Chrome,768,131,1366,Windows
Chrome,768,132,1366,Windows
Chrome,768,133,1366,Windows
Chrome,768,134,1024,Windows
Chrome,1080,135,1920,Windows
Chrome,768,136,1366,Windows
Chrome,800,137,1280,Windows
Chrome,768,138,1366,Windows
Chrome,1080,139,1920,Windows
Firefox,768,140,1366,Windows
Chrome,768,141,1024,Windows
Chrome,768,142,1366,Windows
Chrome,768,143,1366,Windows
Chrome,768,144,1366,Windows
Chrome,768,145,1366,Windows
Chrome,768,146,1366,Windows
Chrome,900,147,1440,Mac
Chrome,800,148,1280,Windows
Chrome,768,149,1366,Windows
Chrome,768,150,1366,Windows
Chrome,768,151,1366,Windows
Chrome,840,152,1344,Windows
Firefox,704,153,1252,Windows
Chrome,768,154,1366,Windows
Chrome,768,155,1366,Windows
Chrome,768,156,1366,Windows
Chrome,768,157,1366,Windows
Chrome,768,158,1366,Windows
Chrome,1080,159,1920,Windows
Chrome,853,160,1517,Linux
Chrome,720,161,1280,Windows
Chrome,1003,162,1504,Windows
Chrome,768,163,1366,Windows
Chrome,768,164,1366,Windows
Chrome,768,165,1366,Windows
Chrome,1050,166,1680,Windows
Chrome,900,167,1600,Windows
Chrome,900,168,1440,Windows
Chrome,768,169,1366,Windows
Chrome,768,170,1366,Windows
Chrome,900,171,1440,Mac
Firefox,900,172,1600,Linux
Chrome,768,173,1366,Windows
Chrome,768,174,1366,Windows
Chrome,768,175,1366,Windows
Chrome,1080,176,1920,Windows
Chrome,1080,177,1920,Windows
Chrome,1080,178,1920,Windows
Chrome,768,179,1366,Windows
Chrome,768,180,1366,Windows
Chrome,1024,181,1280,Windows
Chrome,900,182,1440,Mac
Chrome,800,183,1280,Mac
Chrome,800,184,1280,Windows
Chrome,768,185,1366,Windows
Chrome,846,186,412,Linux
Chrome,768,187,1366,Windows
Chrome,1080,188,1920,Windows
Chrome,768,189,1366,Windows
Chrome,768,190,1366,Windows
Chrome,1050,191,1680,Mac
Chrome,768,192,1024,Windows
Firefox,768,193,1366,Windows
Firefox,768,194,1366,Windows
Chrome,768,195,1366,Windows
Chrome,720,196,1280,Windows
Chrome,768,197,1366,Windows
Chrome,768,198,1024,Windows
Chrome,768,199,1366,Windows
Chrome,768,200,1364,Windows
Chrome,1440,201,2560,Mac
Chrome,768,202,1366,Windows
Chrome,820,203,1024,Windows
Chrome,740,204,360,Linux
Chrome,900,205,1440,Mac
Chrome,900,206,1600,Windows
Chrome,768,207,1360,Windows
Chrome,768,208,1366,Windows
Chrome,768,209,1366,Windows
Chrome,768,210,1366,Windows
Chrome,768,211,1366,Windows
Chrome,768,212,1366,Windows
Chrome,1200,213,1920,Windows
Chrome,768,214,1366,Windows
Chrome,900,215,1440,Mac
Chrome,768,216,1366,Windows
Chrome,1080,217,1920,Windows
Firefox,800,218,1280,Windows
Chrome,768,219,1024,Windows
Chrome,615,220,1093,Windows
Chrome,768,221,1366,Windows
Chrome,720,222,1280,Windows
Chrome,1200,223,1920,Windows
Chrome,1024,224,1280,Windows
Chrome,720,225,1152,Windows
Chrome,768,226,1024,Windows
Firefox,1080,227,1920,Windows
Chrome,768,228,1366,Windows
Chrome,615,229,1093,Windows
Chrome,800,230,1280,Windows
Chrome,768,231,1366,Windows
Chrome,720,232,1280,Windows
Chrome,900,233,1440,Mac
Chrome,768,234,1366,Windows
Chrome,768,235,1366,Windows
Chrome,768,236,1366,Windows
Chrome,800,237,1280,Windows
Chrome,900,238,1440,Windows
Chrome,768,239,1366,Windows
Chrome,1050,240,1680,Windows
Chrome,720,241,1280,Windows
Chrome,768,242,1366,Windows
Chrome,768,243,1366,Windows
Chrome,800,244,1280,Windows
Chrome,768,245,1366,Windows
Chrome,768,246,1366,Windows
Chrome,768,247,1024,Windows
Chrome,768,248,1366,Windows
Chrome,869,249,412,Linux
